setting,model_family,baseline_coverage,geo_method,geo_coverage,baseline_length,geo_length,geo_length_reduction_pct,baseline_cond_error,geo_cond_error,cond_error_reduction_pct,oracle_length,oracle_length_reduction_pct,density_method,density_coverage,density_length,density_length_reduction_pct,density_cond_error
heavy_tail,cqr_gbrt,0.9015555555555556,conformalized quantile regression,0.9062222222222222,1.3020043415213685,1.3589084937711002,-4.370504032516536,0.0541898964614859,0.0229742670762695,57.604150263328364,,,,,,,
heavy_tail,krr,0.9026666666666668,blended normalized residual gamma=0.75,0.9057777777777778,1.9957933277540232,2.100617219152147,-5.252241799810394,0.0530141843971631,0.0499646812303257,5.752240087278576,2.0598702740096777,-3.2106002843372496,gmm density level set (1 comp),0.9026666666666668,1.997219905476726,-0.0714792309837072,0.0530141843971631
heavy_tail,mlp,0.902,blended normalized residual gamma=0.25,0.9044444444444444,1.4362609562618485,1.372864876662413,4.413966648820995,0.0626225490196078,0.0278842871771532,55.472449439223034,1.3851302308929192,3.559988534535328,gmm density level set (1 comp),0.9002222222222223,1.4211843202668462,1.0497142548692695,0.0617312834224598
heavy_tail,rf,0.9033333333333332,blended normalized residual gamma=0.50,0.9053333333333332,1.3288304802310966,1.288762536463368,3.0152788007060374,0.0504110251450677,0.0282071339173967,44.045704612780455,1.275224581768225,4.0340659896324,gmm density level set (1 comp),0.9035555555555556,1.3322212955240076,-0.2551729015367911,0.0501893939393939
heteroskedastic,cqr_gbrt,0.9033333333333332,conformalized quantile regression,0.902888888888889,1.9044118774475367,1.6968647166964004,10.898228645229288,0.0882348200402017,0.0255575150756627,71.03466062035584,,,,,,,
heteroskedastic,krr,0.9113333333333332,blended normalized residual gamma=0.75,0.9086666666666666,2.579204517571725,2.6826678356351743,-4.0114429607489335,0.0797040334509045,0.0691200174460499,13.279147298579398,2.607203533115635,-1.0855678699830529,gmm density level set (1 comp),0.9113333333333332,2.5799277175423185,-0.0280396519805474,0.0797040334509045
heteroskedastic,mlp,0.8953333333333333,stabilized normalized residual,0.9031111111111112,1.988056899182218,1.784102221272822,10.258996007271842,0.0960495126483862,0.0376754086547578,60.77501320316089,1.8390839806030648,7.493393103609482,gmm density level set (1 comp),0.8951111111111111,1.992771754239584,-0.2371589595501693,0.096712035878181
heteroskedastic,rf,0.9071111111111112,blended normalized residual gamma=0.25,0.9086666666666666,1.9504948485209093,1.675881964326316,14.079139168341646,0.0862365836082982,0.0471095498160579,45.371734541296526,1.691343104444056,13.28646134458504,gmm density level set (1 comp),0.9071111111111112,1.948290241868165,0.1130280684625425,0.0862365836082982
homoskedastic,cqr_gbrt,0.8986666666666666,conformalized quantile regression,0.9042222222222224,0.83870449441996,0.8766690812165846,-4.526574860300536,0.0017777777777777,0.0108888888888888,-512.5000000000218,,,,,,,
homoskedastic,krr,0.9062222222222222,blended normalized residual gamma=0.75,0.902,1.3443176496891425,1.4496226540493924,-7.833342393786205,0.015111111111111,0.0108888888888888,27.941176470588292,1.3443176496891425,0.0,gmm density level set (1 comp),0.9062222222222222,1.3433416736168624,0.072600108501569,0.015111111111111
homoskedastic,mlp,0.9066666666666666,blended normalized residual gamma=0.75,0.9071111111111112,0.9340417250341088,0.9332982650575132,0.0795960133974197,0.0066666666666666,0.0088888888888889,-33.333333333334814,0.9340417250341088,0.0,gmm density level set (1 comp),0.9066666666666668,0.931887684181234,0.2306150566021104,0.008
homoskedastic,rf,0.9026666666666668,blended normalized residual gamma=0.75,0.9037777777777776,0.8558826356715321,0.8579831663836113,-0.2454227512667166,0.0031111111111111,0.0037777777777777,-21.428571428569356,0.855882635671532,1.2971673665911764e-14,gmm density level set (1 comp),0.9026666666666668,0.8562691131498212,-0.0451554292821811,0.0031111111111111
multimodal,cqr_gbrt,0.8937777777777778,conformalized quantile regression,0.8886666666666666,2.345032121947597,2.2660600941938167,3.367630959706963,0.0419767133158872,0.0262280976220275,37.51750542103356,,,conditional two-mode density level set,0.904,1.819801578771559,22.397584163573143,0.0757485682861152
multimodal,krr,0.8913333333333333,blended normalized residual gamma=0.75,0.8942222222222221,3.803046543633396,4.143939564962227,-8.96368260071687,0.0202561440436909,0.0216847764250768,-7.0528348253470865,4.287568304303594,-12.7403584234678,conditional two-mode density level set,0.904,1.819801578771559,52.14884809080098,0.0757485682861152
multimodal,mlp,0.9071111111111112,blended normalized residual gamma=0.75,0.906888888888889,2.6912707331158248,2.687519892227192,0.1393706267629975,0.038254020176736,0.0350549455759092,8.362714784085107,3.103795659881438,-15.328258197495105,conditional two-mode density level set,0.904,1.819801578771559,32.3813261750638,0.0757485682861152
