setting,model_family,method,coverage_mean,coverage_sd,coverage_error_mean,avg_length_mean,avg_length_sd,median_length_mean,max_abs_cond_error_mean,mean_abs_cond_error_mean,worst_undercoverage_mean,worst_overcoverage_mean,pi_upper_max_abs_cond_error_mean,pi_upper_mean_abs_cond_error_mean,pi_upper_worst_undercoverage_mean,pi_upper_worst_overcoverage_mean,mode_entropy_max_abs_cond_error_mean,mode_entropy_mean_abs_cond_error_mean,mode_entropy_worst_undercoverage_mean,mode_entropy_worst_overcoverage_mean,mode_margin_max_abs_cond_error_mean,mode_margin_mean_abs_cond_error_mean,mode_margin_worst_undercoverage_mean,mode_margin_worst_overcoverage_mean,mode_separation_max_abs_cond_error_mean,mode_separation_mean_abs_cond_error_mean,mode_separation_worst_undercoverage_mean,mode_separation_worst_overcoverage_mean,length_reduction_vs_abs_pct
heavy_tail,cqr_gbrt,absolute residual,0.9015555555555556,0.0013877773329773935,0.0015555555555555323,1.3020043415213685,0.013144149287283018,1.3020043415213685,0.10070921985815606,0.054189896461485955,-0.09858156028368799,0.09112527022414381,,,,,,,,,,,,,,,,,0.0
heavy_tail,cqr_gbrt,conformalized quantile regression,0.9062222222222222,0.009341266469770532,0.006222222222222166,1.3589084937711002,0.007483446707569702,1.3073415522886276,0.05660105434823833,0.02297426707626958,-0.042355975272120504,0.04495960860166115,,,,,,,,,,,,,,,,,-4.370504032516536
heavy_tail,krr,absolute residual,0.9026666666666667,0.011372481406154659,0.002666666666666669,1.9957933277540232,0.04580476907146222,1.9957933277540227,0.1127659574468085,0.05301418439716312,-0.1127659574468085,0.09290780141843973,,,,,,,,,,,,,,,,,0.0
heavy_tail,krr,gmm density level set (1 comp),0.9026666666666667,0.011372481406154659,0.002666666666666669,1.997219905476726,0.046864181274850876,1.997219905476726,0.1127659574468085,0.05301418439716312,-0.1127659574468085,0.09290780141843973,,,,,,,,,,,,,,,,,-0.07147923098370723
heavy_tail,krr,oracle local normalization,0.9086666666666666,0.0052068331172711105,0.008666666666666637,2.0598702740096777,0.01595045701614629,2.049540288071812,0.044836348465885356,0.024400054992983648,-0.026351120719080672,0.044836348465885356,,,,,,,,,,,,,,,,,-3.2106002843372496
heavy_tail,krr,blended normalized residual gamma=0.75,0.9057777777777778,0.006194382162118401,0.005777777777777733,2.100617219152147,0.04045678053688425,1.9771447837330811,0.09078014184397165,0.04996468123032579,-0.08971631205673762,0.08758865248226948,,,,,,,,,,,,,,,,,-5.252241799810394
heavy_tail,krr,blended normalized residual gamma=0.50,0.9,0.00835330939076111,-3.700743415417188e-17,2.399912399810648,0.07323109304229918,2.1385109483913514,0.09078014184397165,0.04325530018583835,-0.08794326241134753,0.075177304964539,,,,,,,,,,,,,,,,,-20.24854309496077
heavy_tail,krr,blended normalized residual gamma=0.25,0.8984444444444444,0.007343427396381476,-0.0015555555555555693,3.3044176493777235,0.14365017791833645,2.800584724029688,0.0652482269503546,0.032370482041946355,-0.06312056737588652,0.0556737588652482,,,,,,,,,,,,,,,,,-65.56913000086877
heavy_tail,krr,stabilized normalized residual,0.9004444444444445,0.0036717136981907874,0.0004444444444443955,7.632452435414723,0.4181762939169468,6.171273490991045,0.047517730496453914,0.02442446998141616,-0.04361702127659576,0.04503546099290782,,,,,,,,,,,,,,,,,-282.4269942822158
heavy_tail,krr,locally normalized residual,0.8966666666666666,0.005773502691896279,-0.0033333333333333734,68.33491108535402,7.073380712836684,50.30858443250242,0.03924792354078962,0.01963676186141768,-0.03475177304964542,0.028831493912845563,,,,,,,,,,,,,,,,,-3323.9472662359826
heavy_tail,mlp,blended normalized residual gamma=0.25,0.9044444444444445,0.004438885412319636,0.004444444444444399,1.372864876662413,0.009133675911320447,1.3210461016263588,0.08475177304964543,0.02788428717715327,-0.05957446808510639,0.06808510638297875,,,,,,,,,,,,,,,,,4.413966648820995
heavy_tail,mlp,blended normalized residual gamma=0.50,0.9071111111111111,0.003150543750835062,0.007111111111111068,1.377898333972207,0.0084179430966264,1.3419519345287385,0.09007092198581564,0.037521333485038125,-0.0790780141843972,0.075177304964539,,,,,,,,,,,,,,,,,4.0635110238978855
heavy_tail,mlp,blended normalized residual gamma=0.75,0.9031111111111111,0.005091750772173152,0.0031111111111110645,1.3834574090463245,0.003945881777283376,1.364744011105424,0.12624113475177304,0.04920710547275003,-0.1145390070921986,0.08580612128797356,,,,,,,,,,,,,,,,,3.676459141029326
heavy_tail,mlp,oracle local normalization,0.906888888888889,0.00781262036944305,0.006888888888888871,1.3851302308929192,0.016603814512524427,1.3780650543901551,0.05449615049114424,0.02376882087457806,-0.04383509690142987,0.0394982364319035,,,,,,,,,,,,,,,,,3.5599885345353277
heavy_tail,mlp,stabilized normalized residual,0.9051111111111112,0.009714441330842006,0.005111111111111104,1.3972264317155025,0.02001790219203123,1.3293051593712835,0.0687943262411348,0.023315128759434145,-0.042261159783062184,0.04858156028368795,,,,,,,,,,,,,,,,,2.7177877652499136
heavy_tail,mlp,gmm density level set (1 comp),0.9002222222222223,0.0053472041846737255,0.00022222222222219776,1.4211843202668462,0.03057598462022145,1.4211843202668462,0.15638297872340431,0.06173128342245989,-0.1535460992907802,0.09113475177304964,,,,,,,,,,,,,,,,,1.0497142548692695
heavy_tail,mlp,absolute residual,0.902,0.003055050463303899,0.001999999999999965,1.4362609562618485,0.018415039214857664,1.4362609562618485,0.15283687943262414,0.06262254901960784,-0.15000000000000002,0.09290780141843973,,,,,,,,,,,,,,,,,0.0
heavy_tail,mlp,locally normalized residual,0.9044444444444445,0.01193190556325225,0.004444444444444436,1.4406642605280737,0.02809471310713652,1.3593741060621747,0.05106382978723404,0.023405440512762166,-0.035187924299313576,0.04326241134751774,,,,,,,,,,,,,,,,,-0.3065810740748482
heavy_tail,rf,oracle local normalization,0.8964444444444445,0.006710963942462909,-0.003555555555555608,1.275224581768225,0.012323798686833193,1.2688200417930096,0.05000000000000001,0.021399618841733973,-0.04739067774111579,0.03262411347517732,,,,,,,,,,,,,,,,,4.0340659896324
heavy_tail,rf,blended normalized residual gamma=0.50,0.9053333333333332,0.004618802153516994,0.005333333333333264,1.2887625364633681,0.02630964812668428,1.2506356181697065,0.07163120567375887,0.028207133917396748,-0.04565555429134908,0.07163120567375887,,,,,,,,,,,,,,,,,3.0152788007060374
heavy_tail,rf,blended normalized residual gamma=0.25,0.9057777777777778,0.008009253907084523,0.005777777777777771,1.2945417306342122,0.013435045482759134,1.2391168788097724,0.060926536959077605,0.024300498729472434,-0.03190730837789665,0.060926536959077605,,,,,,,,,,,,,,,,,2.580370491721509
heavy_tail,rf,blended normalized residual gamma=0.75,0.9048888888888889,0.0053886025124364875,0.004888888888888869,1.298708949321423,0.019579124163018664,1.2787531185136438,0.07872340425531914,0.037664504873516136,-0.05983995145446963,0.07872340425531914,,,,,,,,,,,,,,,,,2.2667700175296397
heavy_tail,rf,stabilized normalized residual,0.9037777777777777,0.010463339881772081,0.003777777777777769,1.3217536620855297,0.010867302989337479,1.2489004230280767,0.04765995373004132,0.020966549095460228,-0.03190730837789665,0.04124284143057607,,,,,,,,,,,,,,,,,0.5325598901325777
heavy_tail,rf,absolute residual,0.9033333333333333,0.0043716256828680265,0.0033333333333332993,1.3288304802310966,0.019629635915620353,1.3288304802310966,0.09716312056737586,0.0504110251450677,-0.09001972162172416,0.09112527022414378,,,,,,,,,,,,,,,,,0.0
heavy_tail,rf,gmm density level set (1 comp),0.9035555555555556,0.004438885412319603,0.003555555555555497,1.3322212955240076,0.016791402691733258,1.3322212955240076,0.09716312056737586,0.05018939393939394,-0.09001972162172416,0.09112527022414378,,,,,,,,,,,,,,,,,-0.2551729015367911
heavy_tail,rf,locally normalized residual,0.9022222222222221,0.013732901827093613,0.0022222222222221997,1.358874957946863,0.017391293341455633,1.2592618722642248,0.045877422535745414,0.023137349717449827,-0.04060188872454207,0.03782948382447752,,,,,,,,,,,,,,,,,-2.260971445397718
heteroskedastic,cqr_gbrt,conformalized quantile regression,0.902888888888889,0.009197423149588818,0.0028888888888888666,1.6968647166964004,0.011608008804435957,1.6234215162885992,0.05798536048848938,0.02555751507566276,-0.04942921075586911,0.05008912655971476,,,,,,,,,,,,,,,,,10.898228645229288
heteroskedastic,cqr_gbrt,absolute residual,0.9033333333333333,0.012346839451634773,0.003333333333333336,1.9044118774475367,0.012044062256621312,1.9044118774475371,0.19302726893465316,0.08823482004020176,-0.19302726893465316,0.09999999999999998,,,,,,,,,,,,,,,,,0.0
