epoch,head,head_family,alpha,coverage_target,conformal_score,calibration_source,n_fit,n_selection,n_calib,n_test,selection_acc,test_acc,qhat,coverage,coverage_gap,avg_set_size,median_set_size,singleton_rate,empty_rate,valid_at_target,selected_overall,selected_nonlinear,fit_seconds,error
0,linear_logreg,linear,0.1,0.9,rank,holdout,7500,2500,5000,5000,0.6396,0.646,0.8209944589031248,0.898,-0.0020000000000000018,2.6874,3.0,0.227,0.0,True,True,False,0.02337789535522461,
0,linear_svm,linear,0.1,0.9,rank,holdout,7500,2500,5000,5000,0.6324,0.628,0.4966092351680143,0.9012,0.0011999999999999789,3.082,3.0,0.0926,0.0,True,False,False,0.0220792293548584,
0,knn_distance,nonlinear,0.1,0.9,rank,holdout,7500,2500,5000,5000,0.4316,0.4018,0.9387749803844087,0.8868,-0.01319999999999999,5.2878,6.0,0.089,0.0,False,False,False,0.5934467315673828,
0,random_forest,nonlinear,0.1,0.9,rank,holdout,7500,2500,5000,5000,0.458,0.4416,0.7966666666666667,0.8964,-0.0036000000000000476,4.736,5.0,0.0932,0.0,True,False,False,0.48481154441833496,
0,rbf_svm,nonlinear,0.1,0.9,rank,holdout,7500,2500,5000,5000,0.614,0.6046,0.953044066475446,0.8912,-0.00880000000000003,3.2656,3.0,0.0,0.0,True,False,False,7.015488147735596,
0,small_mlp,nonlinear,0.1,0.9,rank,holdout,7500,2500,5000,5000,0.6256,0.6126,0.8592823542512131,0.8942,-0.005800000000000027,2.7836,3.0,0.2198,0.0,True,False,True,0.02545928955078125,
1,linear_logreg,linear,0.1,0.9,rank,holdout,7500,2500,5000,5000,0.85,0.8482,0.6866986283925326,0.906,0.006000000000000005,1.1898,1.0,0.8176,0.0,True,True,False,0.02241039276123047,
1,linear_svm,linear,0.1,0.9,rank,holdout,7500,2500,5000,5000,0.84,0.8446,0.3762574949792296,0.9034,0.0033999999999999586,1.2152,1.0,0.7874,0.0,True,False,False,0.020635366439819336,
1,knn_distance,nonlinear,0.1,0.9,rank,holdout,7500,2500,5000,5000,0.8204,0.8212,0.7417278198539714,0.9086,0.008599999999999941,1.3042,1.0,0.7306,0.0,True,False,False,0.6348817348480225,
1,random_forest,nonlinear,0.1,0.9,rank,holdout,7500,2500,5000,5000,0.82,0.8246,0.6133333333333333,0.9024,0.0023999999999999577,1.2668,1.0,0.7628,0.0,True,False,False,0.5646886825561523,
1,rbf_svm,nonlinear,0.1,0.9,rank,holdout,7500,2500,5000,5000,0.85,0.8552,0.6430236093597911,0.9056,0.005599999999999938,1.3218,1.0,0.6822,0.0,True,False,True,3.707415819168091,
1,small_mlp,nonlinear,0.1,0.9,rank,holdout,7500,2500,5000,5000,0.8436,0.8484,0.6936398958848641,0.9048,0.0048000000000000265,1.184,1.0,0.8254,0.0,True,False,False,0.027207612991333008,
2,linear_logreg,linear,0.1,0.9,rank,holdout,7500,2500,5000,5000,0.948,0.9472,0.0,0.9472,0.04720000000000002,1.0,1.0,1.0,0.0,True,False,False,0.033010244369506836,
