epoch,head,head_family,train_acc,test_acc,fit_seconds,error,delta_vs_linear,delta_ci_low,delta_ci_high,room_to_improve,relative_gain_of_remaining_error,mcnemar_n01,mcnemar_n10,mcnemar_p,best_linear_head,best_linear_acc,delta_vs_best_linear,delta_best_linear_ci_low,delta_best_linear_ci_high,relative_gain_vs_best_linear_remaining_error,mcnemar_vs_best_linear_n01,mcnemar_vs_best_linear_n10,mcnemar_vs_best_linear_p
0,linear_logreg,linear,0.6663,0.6527,6.453301191329956,,0.0,0.0,0.0,0.34730000000000005,0.0,0,0,1.0,linear_logreg,0.6527,0.0,0.0,0.0,0.0,0,0,1.0
0,linear_svm,linear,0.6554,0.6318,3.749786615371704,,-0.0209,-0.0261025,-0.015897500000000002,0.34730000000000005,-0.060178520011517404,261,470,9.502719008458867e-15,linear_logreg,0.6527,-0.0209,-0.0261025,-0.0156,-0.060178520011517404,261,470,9.502719008458867e-15
0,knn_distance,nonlinear,1.0,0.4153,1.857276201248169,,-0.2374,-0.24880249999999998,-0.226,0.34730000000000005,-0.6835588828102503,647,3021,0.0,linear_logreg,0.6527,-0.2374,-0.2485,-0.2258975,-0.6835588828102503,647,3021,0.0
0,random_forest,nonlinear,1.0,0.4538,30.60026526451111,,-0.1989,-0.2098,-0.1890925,0.34730000000000005,-0.5727037143679815,696,2685,2.5623926074057935e-273,linear_logreg,0.6527,-0.1989,-0.209105,-0.1876,-0.5727037143679815,696,2685,2.5623926074057935e-273
0,rbf_svm,nonlinear,0.762,0.6321,23.43121910095215,,-0.0206,-0.0293025,-0.011597500000000002,0.34730000000000005,-0.059314713504175054,958,1164,8.447607463489632e-06,linear_logreg,0.6527,-0.0206,-0.029502499999999997,-0.011492500000000006,-0.059314713504175054,958,1164,8.447607463489632e-06
0,small_mlp,nonlinear,0.7017,0.6355,7.794508218765259,,-0.0172,-0.024902499999999998,-0.009497500000000002,0.34730000000000005,-0.0495249064209617,890,1062,0.00010762766635975883,linear_logreg,0.6527,-0.0172,-0.0251,-0.0085,-0.0495249064209617,890,1062,0.00010762766635975883
1,linear_logreg,linear,0.8712,0.8447,2.700981616973877,,0.0,0.0,0.0,0.1553,0.0,0,0,1.0,linear_logreg,0.8447,0.0,0.0,0.0,0.0,0,0,1.0
1,linear_svm,linear,0.8601,0.841,1.474287986755371,,-0.0037,-0.0074,-0.0004975000000000023,0.1553,-0.02382485511912428,135,172,0.03974084970936634,linear_logreg,0.8447,-0.0037,-0.0067025,-0.0003,-0.02382485511912428,135,172,0.03974084970936634
1,knn_distance,nonlinear,1.0,0.8202,1.782628059387207,,-0.0245,-0.0305,-0.0186,0.1553,-0.1577591757887959,363,608,3.4952640827806215e-15,linear_logreg,0.8447,-0.0245,-0.0303,-0.0181,-0.1577591757887959,363,608,3.4952640827806215e-15
1,random_forest,nonlinear,1.0,0.8285,30.40903329849243,,-0.0162,-0.0221,-0.0102,0.1553,-0.10431423052157116,364,526,6.263359985375248e-08,linear_logreg,0.8447,-0.0162,-0.022002499999999998,-0.0104,-0.10431423052157116,364,526,6.263359985375248e-08
